code,name_ru,match
IND,Итого по промышленности,^итого по промышленности
B,Горнодобывающая промышленность и разработка карьеров,^горнодобывающая промышленность
05,Добыча угля,^добыча угля
06,Добыча сырой нефти и природного газа,^добыча сырой нефти и природного газа
06.1,Добыча сырой нефти,^добыча сырой нефти$
06.2,Добыча природного газа,^добыча природного газа
07,Добыча металлических руд,^добыча металлических руд
07.1,Добыча железной руды,^добыча железной руды
07.2,"Добыча руд, кроме железных","^добыча руд, кроме железных"
08,Добыча прочих полезных ископаемых,^добыча прочих полезных ископаемых
C,Обрабатывающая промышленность,^обрабатывающая промышленность
10,Производство продуктов питания,^производство продуктов питания
10.1,Переработка и консервирование мяса и производство мясной продукции,^переработка и консервирование мяса
10.2,"Переработка и консервирование рыбы, ракообразных и моллюсков",^переработка и консервирование рыбы
10.3,Переработка и консервирование фруктов и овощей,^переработка и консервирование фруктов
10.4,Производство растительных и животных масел и жиров,^производство растительных и животных масел
10.5,Производство молочных продуктов,^производство молочных продуктов
10.6,"Производство мукомольно-крупяных продуктов, крахмалов и крахмальных продуктов",^производство мукомольно
10.7,"Производство хлебобулочных, макаронных и мучных кондитерских изделий",^производство хлебобулочных
10.8,Производство прочих продуктов питания,^производство прочих продуктов питания
10.9,Производство готовых кормов для животных,^производство готовых кормов
11,Производство напитков,^производство напитков
12,Производство табачных изделий,^производство табачных
13,Производство текстильных изделий,^производство текстильных
14,Производство одежды,^производство одежды
15,Производство кожаной и относящейся к ней продукции,^производство кожаной
16,"Производство деревянных и пробковых изделий, кроме мебели",^производство деревянных
17,Производство бумаги и бумажной продукции,^производство бумаги
19,Производство кокса и продуктов нефтепереработки,^производство кокса и продуктов нефтепереработки
19.2,"Производство продуктов нефтепереработки, брикетов из торфа и угля",^производство продуктов нефтепереработки
20,Производство продуктов химической промышленности,^производство продуктов химической
21,Производство основных фармацевтических продуктов и фармацевтических препаратов,^производство основных фармацевтических
22,Производство резиновых и пластмассовых изделий,^производство резиновых
23,Производство прочей неметаллической минеральной продукции,^производство прочей не ?металлической
24,Металлургическое производство,^металлургическое производство
24.1,"Чёрная металлургия, кроме литья металлов",^черная металлургия
24.4,Производство основных благородных и цветных металлов,^производство основных благородных и цветных
24.5,Литьё металлов,^литье металлов
25,"Производство готовых металлических изделий, кроме машин и оборудования",^производство готовых металлических изделий
MACH,Машиностроение (разделы 26–30),^машиностроение
26,"Производство компьютеров, электронного и оптического оборудования",^производство компьютеров
27,Производство электрического оборудования,^производство электрического оборудования
28,"Производство машин и оборудования, не включённых в другие группировки",^производство машин и оборудования
29,"Производство автомобилей, прицепов и полуприцепов",^производство автомобилей
31,Производство мебели,^производство мебели
D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",^снабжение электроэнергией
35.1,"Производство, передача и распределение электроэнергии","^производство, передача и распределение электроэнергии"
35.2,Производство и распределение газообразного топлива по трубопроводам,^производство и распределение газообразного топлива
35.3,"Снабжение паром, горячей водой и кондиционированным воздухом",^снабжение паром
E,"Водоснабжение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",^водоснабжение
36,"Сбор, обработка и распределение воды","^(з|с)бор, обработка и распределение воды"
37,Сбор и обработка сточных вод,^сбор и обработка сточных вод
38,"Сбор, обработка и удаление отходов; утилизация (восстановление) материалов","^сбор, обработка и удаление отходов"
