code,name_ru,match
GOODS,Производство товаров,^производство товаров
A,"Сельское, лесное и рыбное хозяйство",^сельское
IND,Промышленность,^промышленность
B,Горнодобывающая промышленность и разработка карьеров,^горнодобывающая
C,Обрабатывающая промышленность,^обрабатывающая
D,"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",^(снабжение электроэнергией|электроснабжение)
E,"Водоснабжение; водоотведение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",^водоснабжение
F,Строительство,^строительство
SERVICES,Производство услуг,^производство услуг
G,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,^оптовая и розничн
H,Транспорт и складирование,^транспорт
I,Предоставление услуг по проживанию и питанию,^(предоставление услуг по прожив|услуги по прожив)
J,Информация и связь,^информация и связь
K,Финансовая и страховая деятельность,^финансовая
L,Операции с недвижимым имуществом,^операции с недвижим
M,"Профессиональная, научная и техническая деятельность",^профессиональная
N,Деятельность в области административного и вспомогательного обслуживания,^деятельность в области админ
O,Государственное управление и оборона; обязательное социальное обеспечение,^государственное управление
P,Образование,^образование
Q,Здравоохранение и социальное обслуживание населения,^здравоохранение
R,"Искусство, развлечения и отдых",^искусство
S,Предоставление прочих видов услуг,^предоставление прочих
T,"Деятельность домашних хозяйств, нанимающих домашнюю прислугу и производящих товары и услуги для собственного потребления",^деятельность домашних хозяйств
TOTAL,Итого по отраслям,^(итого|всего по отраслям)
FISIM,Косвенно измеряемые услуги финансового посредничества,^косвенно[- ]?измеряем
GVA,Валовая добавленная стоимость,^валовая добавленная стоимость
NET_TAXES,Чистые налоги на продукты,^чистые налоги
TAXES,Налоги на продукты,^налоги на продукты
SUBSIDIES,Субсидии на продукты,^субсидии
GDP,Валовой внутренний продукт,^валовой (внутренний|региональный) продукт
OTHER_SERVICES,Прочие услуги,^прочие услуги
