code,name_ru,match
GVA,Валовая добавленная стоимость,^валовая добавленная стоимость
GDP,Валовой внутренний продукт,^валовой внутренний продукт
GROSS_PROFIT_MIXED_INCOME,Валовая прибыль и валовой смешанный доход,^валовая прибыль
GNI,Валовой национальный доход,^валовой национальный доход
GNDI,Валовой располагаемый доход,^валовой располагаемый доход
GROSS_SAVING,Валовое сбережение,^валовое сбережение
