code,name_ru,match
GDP,Валовой внутренний продукт,^валовой внутренний продукт
COMPENSATION,Оплата труда,^оплата труда
NET_TAXES_PRODUCTION_IMPORTS,Чистые налоги на производство и импорт,^чистые налоги на производство и импорт
GROSS_PROFIT,Валовая прибыль / валовой смешанный доход,^валовая прибыль
