code,name_ru,match
COAL,"Уголь каменный, включая лигнит и концентрат угольный, тыс. тонн",^уголь каменный
OIL_INCL_CONDENSATE,"Нефть, включая конденсат газовый, тыс. тонн","^нефть, включая конденсат"
CRUDE_OIL,"Нефть сырая (природная смесь углеводородов), тыс. тонн",^нефть сырая
GAS_CONDENSATE,"Конденсат газовый, тыс. тонн",^конденсат газовый
NATURAL_GAS,"Газ природный в жидком или газообразном состоянии, млн куб. м",^газ природный в жидком
NATURAL_GAS_MARKETABLE,"Газ природный (естественный) в газообразном состоянии, товарный выпуск, млн куб. м",^газ природный \(естественный\)
IRON_ORE,"Руды железные агломерированные и неагломерированные, тыс. тонн",^руды железные
IRON_ORE_PELLETS,"Окатыши железорудные, тыс. тонн",^окатыши железорудные
COPPER_ORE,"Руды медные, тыс. тонн",^руды медные
BAUXITE,"Руды алюминиевые (бокситы), тыс. тонн",^руды алюминиевые
LEAD_CONCENTRATE,"Свинец в свинцовом концентрате, тыс. тонн",^свинец в свинцовом
ZINC_CONCENTRATE,"Цинк в цинковом концентрате, тыс. тонн",^цинк в цинковом
MANGANESE_ORE,"Руды марганцевые, тыс. тонн",^руды марганцевые
CHROME_ORE,"Руды хромовые, тыс. тонн",^руды хромовые
SALT,"Соль и хлорид натрия чистый, вода морская, тонн",^соль и хлорид натрия
ASBESTOS,"Асбест, тыс. тонн",^асбест
JUICES,"Соки фруктовые и овощные, тыс. литров",^соки фруктовые
COGNAC,"Коньяк, тыс. литров",^коньяк
VODKA,"Водка, спирт питьевой с содержанием спирта по объёму менее 45,4 %, тыс. литров","^водка, спирт питьевой"
WINE,"Вино виноградное натуральное; сусло виноградное, тыс. литров",^вино виноградное
BEER,"Пиво, кроме осадков и отходов пивоварения, тыс. литров","^пиво, кроме осадков"
CIGARETTES,"Сигары, черуты, сигарильи, сигареты, папиросы из табака или его заменителей, млн штук","^сигары, черуты"
FABRICS,"Ткани, тыс. кв. м","^ткани,"
CARPETS,"Ковры и изделия ковровые, тыс. кв. м",^ковры и изделия ковровые
FOOTWEAR,"Обувь, кроме спортивной, защитной и ортопедической, тыс. пар","^обувь, кроме спортивной"
LEATHER_FOOTWEAR,"Обувь с верхом из кожи, кроме спортивной обуви, тыс. пар",^обувь с верхом из кожи
WINDOWS_DOORS,"Окна и их рамы, двери застеклённые и их рамы, двери и их рамы и пороги",^окна и их рамы
COKE,"Кокс и полукокс из угля каменного, лигнита или торфа; уголь ретортный, тыс. тонн",^кокс и полукокс
MOTOR_FUEL,"Топливо моторное (бензин, в том числе авиационный), тыс. тонн",^топливо моторное
DIESEL,"Газойли (топливо дизельное), тыс. тонн",^газойли
FUEL_OIL,"Мазут топочный, тыс. тонн",^мазут топочный
ETHANOL,"Спирт этиловый, тыс. литров",^спирт этиловый
ELECTRICITY,"Электроэнергия, млн кВт·ч",^электроэнергия
HEAT,"Пар и вода горячая, тыс. Гкал",^пар и вода горячая
WATER_NATURAL,"Вода природная, тыс. куб. м",^вода природная
WATER_POTABLE,"Вода питьевая, тыс. куб. м",^вода питьевая
WATER_NONPOTABLE,"Вода непитьевая, тыс. куб. м",^вода непитьевая
