year,gfcf_real_2010,capital_real_2010,depreciation_book_ratio
2000,1435949.439053,9279310.180745,0.070074
2001,1799244.647133,10311244.59116,0.071254
2002,1979169.111846,11437772.3564,0.100597
2003,2137502.640794,12629480.574617,0.100802
2004,2618440.734973,14203584.010743,0.094964
2005,3354222.5815,16383305.988509,0.113732
2006,4350426.688205,19378989.904742,0.097578
2007,5103050.505265,22879583.218523,0.095087
2008,5154081.010318,26141741.437874,0.101296
2009,5112848.362235,29092917.712402,0.092033
2010,5307136.6,31994348.161635,0.087591
2011,5487579.2444,34836300.696362,0.087796
2012,6030849.589596,37986521.272268,0.088257
2013,6362546.317023,41207945.451789,0.081198
2014,6642498.354972,44442940.688173,0.079442
2015,6921483.285881,47689417.677722,0.070749
2016,7129127.784458,50875086.556891,0.079098
2017,7449938.534758,54118141.826773,0.073533
2018,7852235.215635,57495324.112076,0.082419
2019,8935843.675393,61676854.169835,0.163322
2020,8917971.988042,65494739.982158,0.154404
2021,9149839.259731,69228790.410546,0.131393
2022,9497533.151601,73001764.459921,0.062819
2023,11121611.320525,78086827.796012,0.069111
2024,11844516.056359,83474309.746001,0.076167
2025,13076345.72622,89648128.115832,0.08269
