STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,SECTOR,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FSI,FSI_STO,FSI_COMPONENT,COUNTERPARTY_SECTOR,NA_STO,PRICES,UNIT,DERIVATION_TYPE,OVERLAP,STATUS,DEFINITION,CONSOLIDATION_BASIS,INTRAGROUP_ADJUSTMENTS,ACCOUNTING_STANDARDS
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI765_CFSI_PT,Q,2008-Q1,56.39038590830025,0,,,FSI765,,CFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI765_CFSI_PT,Q,2008-Q2,57.38028001656718,0,,,FSI765,,CFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI765_CFSI_PT,Q,2008-Q3,55.91760178668566,0,,,FSI765,,CFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI765_CFSI_PT,Q,2008-Q4,50.27333507869165,0,,,FSI765,,CFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI765_CFSI_PT,Q,2009-Q1,68.68263488205447,0,,,FSI765,,CFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI765_CFSI_PT,Q,2009-Q2,58.87376740341156,0,,,FSI765,,CFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI765_CFSI_PT,Q,2009-Q3,59.76636521908937,0,,,FSI765,,CFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI765_CFSI_PT,Q,2009-Q4,64.10380272296944,0,,,FSI765,,CFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI765_CFSI_PT,Q,2010-Q1,74.73591593903437,0,,,FSI765,,CFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI765_CFSI_PT,Q,2010-Q2,69.38442491545607,0,,,FSI765,,CFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI765_CFSI_PT,Q,2010-Q3,68.08819583692184,0,,,FSI765,,CFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI765_CFSI_PT,Q,2010-Q4,67.52337997582661,0,,,FSI765,,CFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI765_CFSI_PT,Q,2011-Q1,68.01848512071707,0,,,FSI765,,CFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI765_CFSI_PT,Q,2011-Q2,65.93296667494193,0,,,FSI765,,CFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI765_CFSI_PT,Q,2011-Q3,60.32239145139894,0,,,FSI765,,CFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI765_CFSI_PT,Q,2011-Q4,59.39285770740783,0,,,FSI765,,CFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI765_CFSI_PT,Q,2012-Q1,59.56244717507814,0,,,FSI765,,CFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI765_CFSI_PT,Q,2012-Q2,58.9945017784513,0,,,FSI765,,CFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI765_CFSI_PT,Q,2012-Q3,52.608312941045,0,,,FSI765,,CFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI765_CFSI_PT,Q,2012-Q4,50.28009306990649,0,,,FSI765,,CFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI765_CFSI_PT,Q,2013-Q1,45.49978914194429,0,,,FSI765,,CFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI765_CFSI_PT,Q,2013-Q2,54.50586082901871,0,,,FSI765,,CFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI765_CFSI_PT,Q,2013-Q3,52.34773114443619,0,,,FSI765,,CFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI765_CFSI_PT,Q,2013-Q4,51.05396663749155,0,,,FSI765,,CFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI765_CFSI_PT,Q,2014-Q1,57.80316231813522,0,,,FSI765,,CFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI765_CFSI_PT,Q,2014-Q2,56.15334205197983,0,,,FSI765,,CFSI,,,,PT,SC,,,,,,
dataflow,IMF.STA:FSIC(13.0.1),R,KAZ,S12CFSI,FSI765_CFSI_PT,Q,2014-Q3,59.2013219335173,0,,,FSI765,,CFSI,,,,PT,SC,,,,,,
