date,region,item_code,item_name,value,transformation
2026-04-01,national,CB_INTEREST_M07_09,Central Bank | Interests (forecast) | within 7-9 months,29.18308,level
2026-01-01,national,CB_INTEREST_M10_12,Central Bank | Interests (forecast) | within 10-12 months,16.27827,level
2026-04-01,national,CB_INTEREST_M10_12,Central Bank | Interests (forecast) | within 10-12 months,29.18308,level
2026-01-01,national,CB_INTEREST_M13_15,Central Bank | Interests (forecast) | within 13-15 months,16.27827,level
2026-04-01,national,CB_INTEREST_M13_15,Central Bank | Interests (forecast) | within 13-15 months,29.18308,level
2026-01-01,national,CB_INTEREST_M16_18,Central Bank | Interests (forecast) | within 16-18 months,16.27827,level
2026-04-01,national,CB_INTEREST_M16_18,Central Bank | Interests (forecast) | within 16-18 months,29.18308,level
2026-01-01,national,CB_INTEREST_M19_21,Central Bank | Interests (forecast) | within 19-21 months,16.27827,level
2026-04-01,national,CB_INTEREST_M19_21,Central Bank | Interests (forecast) | within 19-21 months,29.18308,level
2026-01-01,national,CB_INTEREST_M22_24,Central Bank | Interests (forecast) | within 22-24 months,16.27827,level
2026-04-01,national,CB_INTEREST_M22_24,Central Bank | Interests (forecast) | within 22-24 months,29.18308,level
2026-01-01,national,CB_INTEREST_NO_INFO,Central Bank | Interests (forecast) | no information,0.0,level
2026-04-01,national,CB_INTEREST_NO_INFO,Central Bank | Interests (forecast) | no information,0.0,level
2026-01-01,national,CB_INTEREST_ON_DEMAND,Central Bank | Interests (forecast) | on demand,0.0,level
2026-04-01,national,CB_INTEREST_ON_DEMAND,Central Bank | Interests (forecast) | on demand,0.0,level
2026-01-01,national,CB_PRINCIPAL_AFTER_2Y,Central Bank | Principal (forecast) | after 2 years,1999.059088,level
2026-04-01,national,CB_PRINCIPAL_AFTER_2Y,Central Bank | Principal (forecast) | after 2 years,1980.214069,level
2026-01-01,national,CB_PRINCIPAL_M01_03,Central Bank | Principal (forecast) | within 1-3 months,295.698475,level
2026-04-01,national,CB_PRINCIPAL_M01_03,Central Bank | Principal (forecast) | within 1-3 months,260.693057,level
2026-01-01,national,CB_PRINCIPAL_M04_06,Central Bank | Principal (forecast) | within 4-6 months,0.0,level
2026-04-01,national,CB_PRINCIPAL_M04_06,Central Bank | Principal (forecast) | within 4-6 months,0.0,level
2026-01-01,national,CB_PRINCIPAL_M07_09,Central Bank | Principal (forecast) | within 7-9 months,0.0,level
2026-04-01,national,CB_PRINCIPAL_M07_09,Central Bank | Principal (forecast) | within 7-9 months,0.0,level
2026-01-01,national,CB_PRINCIPAL_M10_12,Central Bank | Principal (forecast) | within 10-12 months,0.0,level
2026-04-01,national,CB_PRINCIPAL_M10_12,Central Bank | Principal (forecast) | within 10-12 months,0.0,level
2026-01-01,national,CB_PRINCIPAL_M13_15,Central Bank | Principal (forecast) | within 13-15 months,0.0,level
2026-04-01,national,CB_PRINCIPAL_M13_15,Central Bank | Principal (forecast) | within 13-15 months,0.0,level
2026-01-01,national,CB_PRINCIPAL_M16_18,Central Bank | Principal (forecast) | within 16-18 months,0.0,level
2026-04-01,national,CB_PRINCIPAL_M16_18,Central Bank | Principal (forecast) | within 16-18 months,0.0,level
2026-01-01,national,CB_PRINCIPAL_M19_21,Central Bank | Principal (forecast) | within 19-21 months,0.0,level
2026-04-01,national,CB_PRINCIPAL_M19_21,Central Bank | Principal (forecast) | within 19-21 months,0.0,level
2026-01-01,national,CB_PRINCIPAL_M22_24,Central Bank | Principal (forecast) | within 22-24 months,0.0,level
2026-04-01,national,CB_PRINCIPAL_M22_24,Central Bank | Principal (forecast) | within 22-24 months,0.0,level
2026-01-01,national,CB_PRINCIPAL_NO_INFO,Central Bank | Principal (forecast) | no information,0.0,level
2026-04-01,national,CB_PRINCIPAL_NO_INFO,Central Bank | Principal (forecast) | no information,0.0,level
2026-01-01,national,CB_PRINCIPAL_ON_DEMAND,Central Bank | Principal (forecast) | on demand,299.6748,level
2026-04-01,national,CB_PRINCIPAL_ON_DEMAND,Central Bank | Principal (forecast) | on demand,140.884212,level
2026-01-01,national,FDI_LOANS_INTEREST_AFTER_2Y,Direct investment: Intercompany lending | Interests (forecast) | after 2 years,0.0,level
2026-04-01,national,FDI_LOANS_INTEREST_AFTER_2Y,Direct investment: Intercompany lending | Interests (forecast) | after 2 years,0.0,level
2026-01-01,national,FDI_LOANS_INTEREST_M01_03,Direct investment: Intercompany lending | Interests (forecast) | within 1-3 months,2238.936342,level
2026-04-01,national,FDI_LOANS_INTEREST_M01_03,Direct investment: Intercompany lending | Interests (forecast) | within 1-3 months,2180.623559,level
2026-01-01,national,FDI_LOANS_INTEREST_M04_06,Direct investment: Intercompany lending | Interests (forecast) | within 4-6 months,2209.812615,level
2026-04-01,national,FDI_LOANS_INTEREST_M04_06,Direct investment: Intercompany lending | Interests (forecast) | within 4-6 months,2165.281214,level
2026-01-01,national,FDI_LOANS_INTEREST_M07_09,Direct investment: Intercompany lending | Interests (forecast) | within 7-9 months,2188.10291,level
2026-04-01,national,FDI_LOANS_INTEREST_M07_09,Direct investment: Intercompany lending | Interests (forecast) | within 7-9 months,2128.039986,level
2026-01-01,national,FDI_LOANS_INTEREST_M10_12,Direct investment: Intercompany lending | Interests (forecast) | within 10-12 months,2173.086349,level
2026-04-01,national,FDI_LOANS_INTEREST_M10_12,Direct investment: Intercompany lending | Interests (forecast) | within 10-12 months,2047.665456,level
2026-01-01,national,FDI_LOANS_INTEREST_M13_15,Direct investment: Intercompany lending | Interests (forecast) | within 13-15 months,2053.466892,level
2026-04-01,national,FDI_LOANS_INTEREST_M13_15,Direct investment: Intercompany lending | Interests (forecast) | within 13-15 months,2044.569582,level
2026-01-01,national,FDI_LOANS_INTEREST_M16_18,Direct investment: Intercompany lending | Interests (forecast) | within 16-18 months,2051.628564,level
2026-04-01,national,FDI_LOANS_INTEREST_M16_18,Direct investment: Intercompany lending | Interests (forecast) | within 16-18 months,2039.133435,level
2026-01-01,national,FDI_LOANS_INTEREST_M19_21,Direct investment: Intercompany lending | Interests (forecast) | within 19-21 months,2049.109178,level
2026-04-01,national,FDI_LOANS_INTEREST_M19_21,Direct investment: Intercompany lending | Interests (forecast) | within 19-21 months,2026.619481,level
2026-01-01,national,FDI_LOANS_INTEREST_M22_24,Direct investment: Intercompany lending | Interests (forecast) | within 22-24 months,2043.604596,level
2026-04-01,national,FDI_LOANS_INTEREST_M22_24,Direct investment: Intercompany lending | Interests (forecast) | within 22-24 months,1984.961624,level
2026-01-01,national,FDI_LOANS_INTEREST_NO_INFO,Direct investment: Intercompany lending | Interests (forecast) | no information,0.0,level
2026-04-01,national,FDI_LOANS_INTEREST_NO_INFO,Direct investment: Intercompany lending | Interests (forecast) | no information,0.0,level
2026-01-01,national,FDI_LOANS_INTEREST_ON_DEMAND,Direct investment: Intercompany lending | Interests (forecast) | on demand,0.0,level
2026-04-01,national,FDI_LOANS_INTEREST_ON_DEMAND,Direct investment: Intercompany lending | Interests (forecast) | on demand,0.0,level
2026-01-01,national,FDI_LOANS_PRINCIPAL_AFTER_2Y,Direct investment: Intercompany lending | Principal (forecast) | after 2 years,58240.02556,level
2026-04-01,national,FDI_LOANS_PRINCIPAL_AFTER_2Y,Direct investment: Intercompany lending | Principal (forecast) | after 2 years,59617.196024,level
2026-01-01,national,FDI_LOANS_PRINCIPAL_M01_03,Direct investment: Intercompany lending | Principal (forecast) | within 1-3 months,5038.73437,level
2026-04-01,national,FDI_LOANS_PRINCIPAL_M01_03,Direct investment: Intercompany lending | Principal (forecast) | within 1-3 months,5020.725993,level
2026-01-01,national,FDI_LOANS_PRINCIPAL_M04_06,Direct investment: Intercompany lending | Principal (forecast) | within 4-6 months,2896.698808,level
2026-04-01,national,FDI_LOANS_PRINCIPAL_M04_06,Direct investment: Intercompany lending | Principal (forecast) | within 4-6 months,3398.122154,level
2026-01-01,national,FDI_LOANS_PRINCIPAL_M07_09,Direct investment: Intercompany lending | Principal (forecast) | within 7-9 months,4053.128616,level
2026-04-01,national,FDI_LOANS_PRINCIPAL_M07_09,Direct investment: Intercompany lending | Principal (forecast) | within 7-9 months,2101.003006,level
2026-01-01,national,FDI_LOANS_PRINCIPAL_M10_12,Direct investment: Intercompany lending | Principal (forecast) | within 10-12 months,3610.89261,level
2026-04-01,national,FDI_LOANS_PRINCIPAL_M10_12,Direct investment: Intercompany lending | Principal (forecast) | within 10-12 months,2127.602403,level
2026-01-01,national,FDI_LOANS_PRINCIPAL_M13_15,Direct investment: Intercompany lending | Principal (forecast) | within 13-15 months,2370.647692,level
2026-04-01,national,FDI_LOANS_PRINCIPAL_M13_15,Direct investment: Intercompany lending | Principal (forecast) | within 13-15 months,2173.730438,level
2026-01-01,national,FDI_LOANS_PRINCIPAL_M16_18,Direct investment: Intercompany lending | Principal (forecast) | within 16-18 months,2328.779811,level
2026-04-01,national,FDI_LOANS_PRINCIPAL_M16_18,Direct investment: Intercompany lending | Principal (forecast) | within 16-18 months,2618.783048,level
2026-01-01,national,FDI_LOANS_PRINCIPAL_M19_21,Direct investment: Intercompany lending | Principal (forecast) | within 19-21 months,2478.165235,level
2026-04-01,national,FDI_LOANS_PRINCIPAL_M19_21,Direct investment: Intercompany lending | Principal (forecast) | within 19-21 months,1950.697192,level
2026-01-01,national,FDI_LOANS_PRINCIPAL_M22_24,Direct investment: Intercompany lending | Principal (forecast) | within 22-24 months,2863.210474,level
2026-04-01,national,FDI_LOANS_PRINCIPAL_M22_24,Direct investment: Intercompany lending | Principal (forecast) | within 22-24 months,1921.954412,level
2026-01-01,national,FDI_LOANS_PRINCIPAL_NO_INFO,Direct investment: Intercompany lending | Principal (forecast) | no information,5990.121719,level
2026-04-01,national,FDI_LOANS_PRINCIPAL_NO_INFO,Direct investment: Intercompany lending | Principal (forecast) | no information,6418.078432,level
2026-01-01,national,FDI_LOANS_PRINCIPAL_ON_DEMAND,Direct investment: Intercompany lending | Principal (forecast) | on demand,26.97104,level
2026-04-01,national,FDI_LOANS_PRINCIPAL_ON_DEMAND,Direct investment: Intercompany lending | Principal (forecast) | on demand,30.483439,level
2026-01-01,national,GG_INTEREST_AFTER_2Y,General government | Interests (forecast) | after 2 years,0.0,level
2026-04-01,national,GG_INTEREST_AFTER_2Y,General government | Interests (forecast) | after 2 years,0.0,level
2026-01-01,national,GG_INTEREST_M01_03,General government | Interests (forecast) | within 1-3 months,142.484453,level
2026-04-01,national,GG_INTEREST_M01_03,General government | Interests (forecast) | within 1-3 months,134.775266,level
2026-01-01,national,GG_INTEREST_M04_06,General government | Interests (forecast) | within 4-6 months,142.212335,level
2026-04-01,national,GG_INTEREST_M04_06,General government | Interests (forecast) | within 4-6 months,130.649739,level
2026-01-01,national,GG_INTEREST_M07_09,General government | Interests (forecast) | within 7-9 months,137.957712,level
2026-04-01,national,GG_INTEREST_M07_09,General government | Interests (forecast) | within 7-9 months,128.629477,level
2026-01-01,national,GG_INTEREST_M10_12,General government | Interests (forecast) | within 10-12 months,135.849438,level
2026-04-01,national,GG_INTEREST_M10_12,General government | Interests (forecast) | within 10-12 months,126.796678,level
2026-01-01,national,GG_INTEREST_M13_15,General government | Interests (forecast) | within 13-15 months,133.940036,level
2026-04-01,national,GG_INTEREST_M13_15,General government | Interests (forecast) | within 13-15 months,125.010179,level
2026-01-01,national,GG_INTEREST_M16_18,General government | Interests (forecast) | within 16-18 months,132.082247,level
2026-04-01,national,GG_INTEREST_M16_18,General government | Interests (forecast) | within 16-18 months,122.825487,level
2026-01-01,national,GG_INTEREST_M19_21,General government | Interests (forecast) | within 19-21 months,130.167844,level
2026-04-01,national,GG_INTEREST_M19_21,General government | Interests (forecast) | within 19-21 months,119.028538,level
