iso3,contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces
MLI,0,0,0,0,0,0,0,0,8648.104,8188.619,8107.075,8059.961
MLT,0,0,0,0,0,0,0,0,5292.074,4762.142,4817.564,4740.122
MMR,0,0,0,0,0,0,0,0,3460.527,4409.214,4051.045,3959.598
MNG,0,0,0,0,0,0,0,0,2371.558,2557.15,2558.585,2390.42
MNP,0,0,0,0,0,0,0,0,7155.33,7612.448,7596.276,7558.172
MOZ,0,0,0,0,0,0,0,0,8939.673,9392.894,8536.496,8473.826
MRT,0,0,0,0,0,0,0,0,8874.315,8278.056,8267.075,8220.338
MSR,0,0,0,0,0,0,0,0,12168.0,11242.22,.,.
MTQ,0,0,0,0,0,0,0,0,12306.46,11392.08,11605.6,11576.52
MUS,0,0,0,0,0,0,0,0,7333.565,8056.534,7772.85,7748.976
MWI,0,0,0,0,0,0,0,0,7733.633,8115.828,7905.97,7880.899
MYS,0,0,0,0,0,0,0,0,5090.712,6043.745,5876.803,5811.559
NAM,0,0,0,0,0,0,0,0,9538.97,9772.332,9522.26,9492.522
NCL,0,0,0,0,0,0,0,0,11652.95,12266.89,12138.73,12112.3
NER,0,0,0,0,0,0,0,0,7769.258,7414.157,7135.769,7081.286
NFK,0,0,0,0,0,0,0,0,12256.38,12924.29,12825.09,12800.19
NGA,0,0,0,0,0,0,0,0,8189.025,7443.349,7592.865,7538.863
NIC,0,0,0,0,0,0,0,0,13642.05,12670.54,12927.84,12906.01
NIU,0,0,0,0,0,0,0,0,13310.35,13637.34,13665.07,13645.13
NLD,0,0,0,0,0,0,0,0,5251.808,4421.781,4603.805,4519.403
NOR,0,0,0,0,0,0,0,0,4702.35,3798.377,4092.668,4001.28
NPL,0,0,0,0,0,0,0,0,1887.094,2859.524,2613.408,2492.701
NRU,0,0,0,0,0,0,0,0,10054.9,10443.0,10448.72,10421.61
NZL,0,0,0,0,0,0,0,0,13726.58,14506.35,14013.93,13989.42
OMN,0,0,0,0,0,0,0,0,2756.083,3259.07,3140.298,3071.873
PAK,0,0,0,0,0,0,0,0,1116.941,1952.763,2222.343,2026.509
PAL,0,0,0,0,0,0,0,0,3930.707,3726.781,3640.233,3561.732
PAN,0,0,0,0,0,0,0,0,13753.44,12783.6,13080.77,13057.35
PCN,0,0,0,0,0,0,0,0,16850.63,16597.48,.,.
PER,0,0,0,0,0,0,0,0,15760.42,14839.04,14937.82,14911.59
PHL,0,0,0,0,0,0,0,0,5250.611,5987.6,6022.111,5955.153
PLW,0,0,0,0,0,0,0,0,6858.702,7519.936,7422.755,7381.142
PNG,0,0,0,0,0,0,0,0,9181.396,9859.199,9588.028,9547.255
POL,0,0,0,0,0,0,0,0,4193.663,3411.543,3698.566,3581.66
