date,value,transformation
2014-12-31,45673.58668505,level
2015-12-31,60807.48937294,level
2016-12-31,77844.26863845,level
2017-12-31,80980.24179613,level
2018-12-31,95277.7034925,level
2019-12-31,106498.26050557,level
2020-12-31,105144.3625886,level
2021-12-31,111277.72455273,level
2022-12-31,153619.21504825,level
2023-12-31,161890.42923258,level
2024-12-31,125189.66151049,level
2025-12-31,117407.40095227,level
