iso3,year,exports,imports,gdp,dist,tariff,ln_gdp,ln_dist,contig,comlang_ru,ex_ussr,rta,eaeu,wto_both,eu,ln_tariff
ABW,2000,0,0,1.87345e+09,12477.5,,21.351,9.43168,0,0,0,0,0,0,0,
ABW,2001,0,0,1.89646e+09,12477.5,,21.3633,9.43168,0,0,0,0,0,0,0,
ABW,2002,0,0,1.96184e+09,12477.5,,21.3972,9.43168,0,0,0,0,0,0,0,
ABW,2003,0,0,2.04411e+09,12477.5,,21.4382,9.43168,0,0,0,0,0,0,0,
ABW,2004,0,0,2.25483e+09,12477.5,,21.5363,9.43168,0,0,0,0,0,0,0,
ABW,2005,0,0,2.36002e+09,12477.5,,21.5819,9.43168,0,0,0,0,0,0,0,
ABW,2006,0,0,2.46978e+09,12477.5,,21.6274,9.43168,0,0,0,0,0,0,0,
ABW,2007,0,0,2.67764e+09,12477.5,,21.7082,9.43168,0,0,0,0,0,0,0,
ABW,2008,0,0,2.84302e+09,12477.5,,21.7681,9.43168,0,0,0,0,0,0,0,
ABW,2009,0,0,2.55379e+09,12477.5,,21.6608,9.43168,0,0,0,0,0,0,0,
ABW,2010,76.6531,0,2.4536e+09,12477.5,,21.6208,9.43168,0,0,0,0,0,0,0,
ABW,2011,0,0,2.63786e+09,12477.5,,21.6932,9.43168,0,0,0,0,0,0,0,
ABW,2012,0,0.0273,2.61521e+09,12477.5,7.5,21.6846,9.43168,0,0,0,0,0,0,0,0.0723207
ABW,2013,0,0.003499,2.72785e+09,12477.5,10,21.7268,9.43168,0,0,0,0,0,0,0,0.0953102
ABW,2014,0,0,2.79085e+09,12477.5,,21.7496,9.43168,0,0,0,0,0,0,0,
ABW,2015,0,0,2.96291e+09,12477.5,,21.8094,9.43168,0,0,0,0,0,0,0,
ABW,2016,0,0,2.98364e+09,12477.5,,21.8164,9.43168,0,0,0,0,0,0,0,
ABW,2017,0,0,3.09243e+09,12477.5,,21.8522,9.43168,0,0,0,0,0,0,0,
ABW,2018,0,0,3.27619e+09,12477.5,,21.9099,9.43168,0,0,0,0,0,0,0,
ABW,2019,0,0,3.34756e+09,12477.5,,21.9315,9.43168,0,0,0,0,0,0,0,
ABW,2020,0,0,2.46106e+09,12477.5,,21.6239,9.43168,0,0,0,0,0,0,0,
ABW,2021,0,0,2.88931e+09,12477.5,,21.7843,9.43168,0,0,0,0,0,0,0,
ABW,2022,0,0,3.32667e+09,12477.5,,21.9252,9.43168,0,0,0,0,0,0,0,
ABW,2023,0,0,3.74657e+09,12477.5,,22.0441,9.43168,0,0,0,0,0,0,0,
ABW,2024,0,0,4.16759e+09,12477.5,,22.1506,9.43168,0,0,0,0,0,0,0,
