scale,lambda,mu,log_ml,sample
2.000,1.000,5.000,-1150.127,2011Q2
2.000,1.000,10.000,-1152.312,2011Q2
2.000,1.000,25.000,-1160.487,2011Q2
2.000,1.000,100.000,-1172.948,2011Q2
2.000,1.500,0.500,-1165.539,2011Q2
2.000,1.500,1.000,-1166.216,2011Q2
2.000,1.500,2.000,-1165.679,2011Q2
2.000,1.500,5.000,-1164.463,2011Q2
2.000,1.500,10.000,-1166.700,2011Q2
2.000,1.500,25.000,-1175.568,2011Q2
2.000,1.500,100.000,-1192.193,2011Q2
3.000,0.050,0.500,-1152.445,2011Q2
3.000,0.050,1.000,-1151.841,2011Q2
3.000,0.050,2.000,-1151.258,2011Q2
3.000,0.050,5.000,-1151.153,2011Q2
3.000,0.050,10.000,-1151.428,2011Q2
3.000,0.050,25.000,-1151.884,2011Q2
3.000,0.050,100.000,-1152.860,2011Q2
3.000,0.100,0.500,-1148.447,2011Q2
3.000,0.100,1.000,-1147.468,2011Q2
3.000,0.100,2.000,-1146.189,2011Q2
3.000,0.100,5.000,-1144.923,2011Q2
3.000,0.100,10.000,-1144.841,2011Q2
3.000,0.100,25.000,-1145.255,2011Q2
3.000,0.100,100.000,-1146.543,2011Q2
3.000,0.150,0.500,-1143.649,2011Q2
3.000,0.150,1.000,-1142.398,2011Q2
3.000,0.150,2.000,-1140.831,2011Q2
3.000,0.150,5.000,-1139.325,2011Q2
3.000,0.150,10.000,-1139.270,2011Q2
3.000,0.150,25.000,-1140.011,2011Q2
3.000,0.150,100.000,-1141.173,2011Q2
3.000,0.200,0.500,-1139.516,2011Q2
3.000,0.200,1.000,-1138.004,2011Q2
3.000,0.200,2.000,-1136.223,2011Q2
3.000,0.200,5.000,-1134.750,2011Q2
3.000,0.200,10.000,-1135.057,2011Q2
3.000,0.200,25.000,-1136.455,2011Q2
3.000,0.200,100.000,-1137.702,2011Q2
3.000,0.300,0.500,-1133.691,2011Q2
3.000,0.300,1.000,-1131.875,2011Q2
