scale,lambda,mu,log_ml,sample
8.000,0.200,5.000,-741.286,2016Q1
8.000,0.200,10.000,-735.862,2016Q1
8.000,0.200,25.000,-731.788,2016Q1
8.000,0.200,100.000,-730.149,2016Q1
8.000,0.300,0.500,-751.475,2016Q1
8.000,0.300,1.000,-746.088,2016Q1
8.000,0.300,2.000,-741.221,2016Q1
8.000,0.300,5.000,-733.923,2016Q1
8.000,0.300,10.000,-728.745,2016Q1
8.000,0.300,25.000,-724.895,2016Q1
8.000,0.300,100.000,-723.796,2016Q1
8.000,0.500,0.500,-742.680,2016Q1
8.000,0.500,1.000,-738.124,2016Q1
8.000,0.500,2.000,-733.677,2016Q1
8.000,0.500,5.000,-727.296,2016Q1
8.000,0.500,10.000,-723.639,2016Q1
8.000,0.500,25.000,-722.109,2016Q1
8.000,0.500,100.000,-723.274,2016Q1
8.000,0.750,0.500,-738.052,2016Q1
8.000,0.750,1.000,-734.940,2016Q1
8.000,0.750,2.000,-731.655,2016Q1
8.000,0.750,5.000,-726.867,2016Q1
8.000,0.750,10.000,-724.873,2016Q1
8.000,0.750,25.000,-726.133,2016Q1
8.000,0.750,100.000,-730.319,2016Q1
8.000,1.000,0.500,-737.752,2016Q1
8.000,1.000,1.000,-735.696,2016Q1
8.000,1.000,2.000,-733.417,2016Q1
8.000,1.000,5.000,-730.048,2016Q1
8.000,1.000,10.000,-729.308,2016Q1
8.000,1.000,25.000,-732.681,2016Q1
8.000,1.000,100.000,-739.493,2016Q1
8.000,1.500,0.500,-742.726,2016Q1
8.000,1.500,1.000,-741.830,2016Q1
8.000,1.500,2.000,-740.925,2016Q1
8.000,1.500,5.000,-739.535,2016Q1
8.000,1.500,10.000,-740.497,2016Q1
8.000,1.500,25.000,-746.692,2016Q1
8.000,1.500,100.000,-757.616,2016Q1
